Namespace,Controller,Desired_Replicas,CPU_Per_Replica,Mem_GiB_Per_Replica,Desired_CPU_Cores,Desired_Mem_GiB,Pool_Hint
bab-dev-cp4i,Deployment/download-sadad-billers-is,1,0.3000,0.3594,0.3000,0.3594,SHARED
bab-dev-cp4i,Deployment/dummy-is,1,0.3000,0.3594,0.3000,0.3594,SHARED
bab-dev-cp4i,Deployment/get-charge-card-list-is,1,0.3000,0.3594,0.3000,0.3594,SHARED
bab-dev-cp4i,Deployment/get-cust-accts-list-is,1,0.3000,0.3594,0.3000,0.3594,SHARED
bab-dev-cp4i,Deployment/rhbk-operator,1,0.3000,0.4395,0.3000,0.4395,SHARED
bab-dev-web-baas,Deployment/abb-account-statement-service,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/abb-account-statement-service-amr-tarek,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/abb-card-statement-service,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/auth-service,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/branch-app-ui,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/branch-statement-service,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/digital-signature-service,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/document-generator-service,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/efatourah-xml,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/enjaz-contacts-service,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/error-message-service,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/ldap-service,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/live-session-manager,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/mock-api-app,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/moi-cache,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/mongo-db-handler,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/retail-onboarding,1,0.3000,0.5000,0.3000,0.5000,SHARED
