"SubscriptionId","VMName","ResourceGroup","OS","ExtensionPresent","ExtensionType","ProvisioningState","ExtensionVersion"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","bab-dev-aro-01-zm4qv-master-0","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","No","Not Installed","N/A","N/A"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","bab-dev-aro-01-zm4qv-master-1","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","No","Not Installed","N/A","N/A"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","bab-dev-aro-01-zm4qv-master-2","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","No","Not Installed","N/A","N/A"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","No","Not Installed","N/A","N/A"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","bab-dev-aro-01-zm4qv-worker-swec-02-65kw7","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","No","Not Installed","N/A","N/A"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","bab-dev-aro-01-zm4qv-worker-swec-03-pdt28","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","No","Not Installed","N/A","N/A"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","bab-dev-aro-01-zm4qv-worker-swec-04-25fmv","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","No","Not Installed","N/A","N/A"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","bab-dev-aro-01-zm4qv-worker-swec-05-rwr4r","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","No","Not Installed","N/A","N/A"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","bab-dev-aro-01-zm4qv-worker-swec-06-qvjx6","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","No","Not Installed","N/A","N/A"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","bab-dev-aro-01-zm4qv-worker-swec-07-48zfr","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","No","Not Installed","N/A","N/A"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","No","Not Installed","N/A","N/A"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DADAIGPULV01","BAB-CORE-AI-SWEC-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DADAIGPULV2","BAB-CORE-AI-SWEC-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DAADOT24DBDWV01","BAB-DEV-ADO-T24-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DAAMLAIODBDLV01","BAB-DEV-AML-AI-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DAAMLAIPGDBDLV01","BAB-DEV-AML-AI-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DARRRAPAUDLV1","BAB-DEV-APEX-SWEC-RG-01","Linux","Yes","MDE.Linux","Failed","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DARRRDBORDLV1","BAB-DEV-APEX-SWEC-RG-01","Linux","Yes","MDE.Linux","Failed","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DARRRWBWBDLV1","BAB-DEV-APEX-SWEC-RG-01","Linux","Yes","MDE.Linux","Failed","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DANCRAPXXDWV1","BAB-DEV-APTRA-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DAAVEAPFLDWV01","BAB-DEV-AVE-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DAAVEAPPDWV01","BAB-DEV-AVE-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DAAVEWBPRDWV01","BAB-DEV-AVE-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DABASADCPDWV1","BAB-DEV-BAAS-AD-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DABASADRTDWV1","BAB-DEV-BAAS-AD-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
