"SubscriptionId","ResourceGroup","MigrateProject","MachineName","TargetVMName","TargetResourceGroup","TargetLocation","ReplicationStatus","MigrationState","DiskCount","TotalDiskSizeGB","DiskDetails","Status","Message","Timestamp"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MQBMWMBSLV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:14"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2BIBADLDUWV1",,,,"Initial replication failed","EnableMigrationFailed","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:16"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2FISAPCRILV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:17"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2FISDBORILV3",,,,"Delta sync","Replicating","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:18"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2RRRAPAUDLV1",,,,"Paused","MigrationCompletedWithInformation","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:19"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MQHAPQMDLV2",,,,"Paused","MigrationCompletedWithInformation","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:19"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2SDBDBORDLV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:20"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2TMSAPMOILV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:21"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MFAAPWSILV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:22"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MFADBORILV1",,,,"Delta sync","Replicating","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:23"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MUBAPJBIWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:23"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2ENJADDCTWV1",,,,"Delta sync","Replicating","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:25"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2DHBDBSQIWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:25"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2IBGAPWSILV2",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:26"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2ENTDBSQIWV1",,,,"Delta sync","Replicating","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:27"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2PBIDBSQDWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:28"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2SAPWBBODWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:29"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2BPMAPWSILV1",,,,"Paused","MigrationPartiallySucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:30"
