"SubscriptionId","SubscriptionName","VaultName","VaultResourceGroup","VaultLocation","MachineName","ReplicationHealth","ProtectionState","ProtectionStateDescription","ReplicationProvider","FabricName","ContainerName","DiskCount","TotalDiskSizeGB","CacheStorageGB","DiskDetails","MonthlyCostSavings","AnnualCostSavings","ASRInstanceCost","DiskStorageCost","LastRpoCalculatedTime","RpoInSeconds","Status","Message","Timestamp"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAMODDBOCSWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAT24APNTSWV5","Normal","UnplannedFailoverCommitted","Failover committed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DACRMAPFEWV01","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","SIT-Mobl-BNK-APP-01","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAT24APNTSWV3","Normal","UnplannedFailoverCommitted","Failover committed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DEVAVDPHEA-11","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DTAZRTFSMWWV02","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DACASDBLV02","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DASHPWBDWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAMLAPLV01","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
