"ProposedLogicApp","ExistingLogicApps","VmCount","VMs","Result","Backup","Error"
"bab-sit-dex-upg-db-start-01","bab-sit-dex-upg-db-start-01","1","DADEXORDBSLV01","SKIPPED_TARGET_EXISTS","",""
"bab-sit-digiapi-db-start-01","bab-DIGIAPI-sit_vms_Scheduled_db","1","DAOBPDBSQIWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-DIGIAPI-sit_vms_Scheduled_db-20260830-231238.json",""
"bab-sit-efat-db-start-01","bab-efat-sit_vms_Scheduled_start","1","DAFATDBSQIWV3","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-efat-sit_vms_Scheduled_start-20260830-231249.json",""
"bab-sit-eips-appweb-start-01","bab-eips-sit_vms_Scheduled_start","1","DAIPSAPGWILV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-eips-sit_vms_Scheduled_start-20260830-231259.json",""
"bab-sit-etl-appweb-start-01","bab-etl-sit_vmstart_vms_Scheduled_appweb","1","DAETLAPDMIWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-etl-sit_vmstart_vms_Scheduled_appweb-20260830-231309.json",""
"bab-sit-etl-db-start-01","bab-etl-sit_vms_Scheduled_db","1","DADHBDBSQIWV1-new","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-etl-sit_vms_Scheduled_db-20260830-231321.json",""
"bab-sit-incentivemanagementsystem-appweb-start-01","bab-incentivemanagementsystem-sit_vms_Scheduled_start","1","DAIMSWBSWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-incentivemanagementsystem-sit_vms_Scheduled_start-20260830-231331.json",""
"bab-sit-incentivemanagementsystem-db-start-01","bab-incentivemanagementsystem-sit_vms_Scheduled_start","1","DAIMSDBSWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-incentivemanagementsystem-sit_vms_Scheduled_start-20260830-231342.json",""
"bab-sit-ipay-appweb-start-01","bab-ipay-sit_vms_Scheduled_start","1","DAIPYAPXXIWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-ipay-sit_vms_Scheduled_start-20260830-231352.json",""
"bab-sit-ipay-db-start-01","bab-ipay-sit_db_Scheduled_start","1","DAIPYDBSQIWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-ipay-sit_db_Scheduled_start-20260830-231401.json",""
"bab-sit-jms-appweb-start-01","bab-jms-sit_vms_Scheduled_start","1","DAMFAAPAUILV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-jms-sit_vms_Scheduled_start-20260830-231410.json",""
"bab-sit-kmsup-db-start-01","bab-kmsup-sit_vms_Scheduled_start","1","DAKMSDBORILV01","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-kmsup-sit_vms_Scheduled_start-20260830-231420.json",""
"bab-sit-mogdb-db-start-01","bab-sit-mog-db-start-01","3","DAMOGDBORSLV1;DAMOGDBORSLV2;DAMOGDBORSLV3","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-sit-mog-db-start-01-20260830-231429.json",""
"bab-sit-mub-appweb-start-01","ststv2_MUB-sit_vms_Scheduled_start","1","DAMUBAPJBIWV2","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_MUB-sit_vms_Scheduled_start-20260830-231441.json",""
"bab-sit-mux-appweb-start-01","bab-mux-sit_vms_Scheduled_appweb","1","DATMSAPMOILV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-mux-sit_vms_Scheduled_appweb-20260830-231451.json",""
